Cluster ID,confidence_score,Id,duns,bp name,addr,postl

17,0.9534814,76,418464574,Mitsubishi Logistics Europe B.V.,"Cargo City Süd, Geb. 639-B,Frankfurt",60549

2,0.9534807881983706,77,418464574,Mitsubishi Logistics Europe B.V.(Carbon Fiber),"Kreuzstr. 20,Düsseldorf",40210

2,0.9534808139385975,78,418464574,Mitsubishi Logistics Europe B.V.Düsseldorf Branch,"Kreuzstraße 20,Düsseldorf",40210

17,0.9534814,79,418464574,Mitsubishi Logistics Europe B.V.Frankfurt Office,"Cargo City Süd, Geb. 639-B,Frankfurt-Flughafen",60549

32,1.0,80,429165871,Mitsubishi Chemical AdvancedMaterials S.r.l.,"PIAZZA DELLA REPUBBLICA 5,Milano",20121

4,0.9534811387910195,81,480003888,Mitsubishi Chemical AdvancedMaterials AG,"Talstrasse 70,Zurich",8001

4,0.9534811387910195,82,480003888,Mitsubishi Chemical AdvancedMaterials AG,"Talstrasse 70,Zürich",8001

18,0.953481,83,481146231,Mitsubishi Chemical AdvancedMaterials Composites AG,"Hardstr 5,Lenzburg",5600

18,0.953481,84,481146231,Mitsubishi Chemical AdvancedMaterials Composites AG,"Hardstrasse 5,Lenzburg",5600

33,1.0,85,495495987,Mitsubishi Chemical AdvancedMaterials Composites s.r.o.,"Na Pasienkoch 10,Nitra",94901

34,1.0,86,502658302,Mitsubishi Chemical Euo AsiaENDÜSTRİ ÜRÜNLERİ SAN. VE TİC. LTD.,"Altunizade Mah. Kısıklı Cad. Akö 14,Üsküdar, Istanbul",34662

14,0.9534814,87,502658302,Mitsubishi Plastics Euro Asia,"Baglarbasi Kisikli Cad, Sar Merkezi,Altunizade Istanbul",NULL

35,1.0,88,520476446,Mitsubishi Chemical AdvancedMaterials Kft.,"Leshegy Utca 30,Szigetszentmiklos",2310

36,1.0,89,544938017,Mitsubishi Chemical PerformancePolymers (China) Co. Ltd.,"148 Huashan Road, New District,SUZHOU",215129

37,1.0,90,545382181,"Mitsubishi Chemical (China) Co., Ltd.","39th Floor, Grand Gateway Tower 1,,Xuhui District, Shanghai, 200030",NULL

38,1.0,91,545382181,"Mitsubishi Chemical(China)Co., Ltd.","1  Hongqiao Road,Shanghai",200030

39,1.0,92,595375916,Mitsubishi Chemical Singapore Pte.,"9 Raffles Place #13-02 Republic Pla,Singapore 048619",NULL

40,1.0,93,595375916,Mitsubishi Chemical SingaporePte. Ltd.,"02-12/13 Science Park Road,Singapore",117610

8,0.9534797,94,622369101,Mitsubishi Chemical Holdings AmericInc.,"USA-Chesapeake, VA 23320, 401 Volvo Parkway",NULL

41,1.0,95,656011178,"Mitsubishi Chemical Taiwan Co., Ltd.","No.62 Kuang Fu Road, Hsinchu Indust,Taiwan R.O.C.",NULL

19,0.9534807,96,660719662,"Mitsubishi Chemical PerformancePolymers (Thailand) Co., Ltd.","6 700/386 Moo,Chonburi",20000

19,0.9534807,97,660719662,"Mitsubishi Chemical(Thailand) Co., Ltd.","700/386 Moo 6,,T.Donhualor,A.Muang,Chonburi",20000

20,0.9534802,98,662826312,Mitsubishi Chemical Hong Kong Ltd.,"25 Canton Rd.,Kowloon, Hong Kong",NULL

20,0.9534802,99,662826312,Mitsubishi Chemical Hong Kong Ltd.,"Suites 2905-6, 29/F, Tower 2, The G,25 Canton Rd. Tsimshatsui, Kowloon,",NULL

42,1.0,100,662907649,"Mitsubishi Chemical (Thailand)Co., Ltd.","North Sathorn Road,Bangrak",10500

43,1.0,101,690540653,Mitsubishi Tanabe Pharma CorporatioEurope Operations Management Officeattn. Ms. Marina Ikeshima,"Willstätterstr. 30,Düsseldorf",40549

