Id,duns,bp name,addr,postl
69,238384528,Mitsubishi Chemical UK Ltd.Soarnol Division,"Soarnol House, Saltend,Hull, East Yorkshire",HU12 8DS
70,300485679,Mitsubishi Plastics Euro Asia#27210NICHT BUCHEN,"Baglarbasi Kisikli Cad, Sar Merkezi,Altunizade Istanbul",NULL
71,312951658,MITSUBISHI CHEMICAL EUROPE GMBH,NULL,NULL
72,416612588,Mitsubishi Motors Europe B.V.,"Mitsubishi Avenue 21,Born",6121 SH
73,417015492,Mitsubishi Chemical AdvancedMaterials B.V.,"Anthony Fokkerweg 2,Almelo",7602PK
74,417015492,Mitsubishi Chemical AdvancedMaterials B.V.,"Anthony Fokkerweg 2,PK Almelo",7602
75,418464574,Mitsubishi Logistics Europe B. V.,"Kreuzstrasse 20,Düsseldorf",40210
76,418464574,Mitsubishi Logistics Europe B.V.,"Cargo City Süd, Geb. 639-B,Frankfurt",60549
77,418464574,Mitsubishi Logistics Europe B.V.(Carbon Fiber),"Kreuzstr. 20,Düsseldorf",40210
78,418464574,Mitsubishi Logistics Europe B.V.Düsseldorf Branch,"Kreuzstraße 20,Düsseldorf",40210
79,418464574,Mitsubishi Logistics Europe B.V.Frankfurt Office,"Cargo City Süd, Geb. 639-B,Frankfurt-Flughafen",60549
80,429165871,Mitsubishi Chemical AdvancedMaterials S.r.l.,"PIAZZA DELLA REPUBBLICA 5,Milano",20121
81,480003888,Mitsubishi Chemical AdvancedMaterials AG,"Talstrasse 70,Zurich",8001
82,480003888,Mitsubishi Chemical AdvancedMaterials AG,"Talstrasse 70,Zürich",8001
83,481146231,Mitsubishi Chemical AdvancedMaterials Composites AG,"Hardstr 5,Lenzburg",5600
84,481146231,Mitsubishi Chemical AdvancedMaterials Composites AG,"Hardstrasse 5,Lenzburg",5600
85,495495987,Mitsubishi Chemical AdvancedMaterials Composites s.r.o.,"Na Pasienkoch 10,Nitra",94901
86,502658302,Mitsubishi Chemical Euo AsiaENDÜSTRİ ÜRÜNLERİ SAN. VE TİC. LTD.,"Altunizade Mah. Kısıklı Cad. Akö 14,Üsküdar, Istanbul",34662
87,502658302,Mitsubishi Plastics Euro Asia,"Baglarbasi Kisikli Cad, Sar Merkezi,Altunizade Istanbul",NULL
88,520476446,Mitsubishi Chemical AdvancedMaterials Kft.,"Leshegy Utca 30,Szigetszentmiklos",2310
89,544938017,Mitsubishi Chemical PerformancePolymers (China) Co. Ltd.,"148 Huashan Road, New District,SUZHOU",215129
90,545382181,"Mitsubishi Chemical (China) Co., Ltd.","39th Floor, Grand Gateway Tower 1,,Xuhui District, Shanghai, 200030",NULL
91,545382181,"Mitsubishi Chemical(China)Co., Ltd.","1  Hongqiao Road,Shanghai",200030
92,595375916,Mitsubishi Chemical Singapore Pte.,"9 Raffles Place #13-02 Republic Pla,Singapore 048619",NULL
93,595375916,Mitsubishi Chemical SingaporePte. Ltd.,"02-12/13 Science Park Road,Singapore",117610
94,622369101,Mitsubishi Chemical Holdings AmericInc.,"USA-Chesapeake, VA 23320, 401 Volvo Parkway",NULL
95,656011178,"Mitsubishi Chemical Taiwan Co., Ltd.","No.62 Kuang Fu Road, Hsinchu Indust,Taiwan R.O.C.",NULL
96,660719662,"Mitsubishi Chemical PerformancePolymers (Thailand) Co., Ltd.","6 700/386 Moo,Chonburi",20000
97,660719662,"Mitsubishi Chemical(Thailand) Co., Ltd.","700/386 Moo 6,,T.Donhualor,A.Muang,Chonburi",20000
98,662826312,Mitsubishi Chemical Hong Kong Ltd.,"25 Canton Rd.,Kowloon, Hong Kong",NULL
99,662826312,Mitsubishi Chemical Hong Kong Ltd.,"Suites 2905-6, 29/F, Tower 2, The G,25 Canton Rd. Tsimshatsui, Kowloon,",NULL
100,662907649,"Mitsubishi Chemical (Thailand)Co., Ltd.","North Sathorn Road,Bangrak",10500
101,690540653,Mitsubishi Tanabe Pharma CorporatioEurope Operations Management Officeattn. Ms. Marina Ikeshima,"Willstätterstr. 30,Düsseldorf",40549
102,690540653,Mitsubishi Tanabe Pharma Corporation,"3-2-10 Dosho-machi Chuo-Ku,Osaka",5418505
103,690540653,Mitsubishi Tanabe PharmaCorporation,"2-10 Dosho-machi 3-Chome,Chuo-ku, Osaka 541-8505, Japan",NULL
104,690553821,"Mitsubishi Chemical Analytech Co.,","7-10-1, Chuo-rinkan, Yamato,242-0007 Kanagawa",NULL
105,690553821,Mitsubishi Chemical CooperationGohsenol Department,"1-1 Marunouchi 1-chome,Chiyoda-ku, Tokyo",1008251
106,690553821,Mitsubishi Chemical Corporation,NULL,NULL
107,690553821,Mitsubishi Chemical Corporation,"Business Administration Section,Phosphor Unit,Electronics Sector,Information & """,100-8251
108,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyodaku, Tokyo 100-8251, Japan",100-8251
109,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,1008251 Tokyo",1008251
